"trade_date","new_ath_marker","period","return"
"1950-01-03","Y","1 year","0.2419"
"1950-01-04","Y","1 year","0.2386"
"1950-01-05","Y","1 year","0.2327"
"1950-01-06","Y","1 year","0.2368"
"1950-01-09","Y","1 year","0.2365"
"1950-01-10","N","1 year","0.2243"
"1950-01-11","Y","1 year","0.2399"
"1950-01-12","N","1 year","0.2595"
"1950-01-13","N","1 year","0.2777"
"1950-01-16","N","1 year","0.2835"
"1950-01-17","N","1 year","0.2782"
"1950-01-18","N","1 year","0.2700"
"1950-01-19","N","1 year","0.2661"
"1950-01-20","N","1 year","0.2533"
"1950-01-23","N","1 year","0.2565"
"1950-01-24","N","1 year","0.2550"
"1950-01-25","N","1 year","0.2563"
"1950-01-26","N","1 year","0.2708"
"1950-01-27","N","1 year","0.2883"
"1950-01-30","N","1 year","0.2773"
"1950-01-31","N","1 year","0.2704"
"1950-02-01","N","1 year","0.2768"
"1950-02-02","Y","1 year","0.2745"
"1950-02-03","Y","1 year","0.2840"
"1950-02-06","Y","1 year","0.2771"
"1950-02-07","N","1 year","0.2763"
"1950-02-08","N","1 year","0.2835"
"1950-02-09","N","1 year","0.2830"
"1950-02-10","N","1 year","0.2865"
"1950-02-14","N","1 year","0.2966"
"1950-02-15","N","1 year","0.2896"
"1950-02-16","N","1 year","0.3025"
"1950-02-17","N","1 year","0.2729"
"1950-02-20","N","1 year","0.2669"
"1950-02-21","N","1 year","0.2731"
"1950-02-23","N","1 year","0.2737"
"1950-02-24","N","1 year","0.2691"
"1950-02-27","N","1 year","0.2593"
"1950-02-28","N","1 year","0.2660"
"1950-03-01","N","1 year","0.2674"
"1950-03-02","N","1 year","0.2728"
"1950-03-03","N","1 year","0.2603"
"1950-03-06","N","1 year","0.2581"
"1950-03-07","N","1 year","0.2709"
"1950-03-08","N","1 year","0.2769"
"1950-03-09","N","1 year","0.2859"
"1950-03-10","N","1 year","0.2697"
"1950-03-13","N","1 year","0.2506"
"1950-03-14","N","1 year","0.2319"
"1950-03-15","Y","1 year","0.2201"
"1950-03-16","Y","1 year","0.2373"
"1950-03-17","N","1 year","0.2355"
"1950-03-20","N","1 year","0.2340"
"1950-03-21","N","1 year","0.2401"
"1950-03-22","Y","1 year","0.2382"
"1950-03-23","Y","1 year","0.2261"
"1950-03-24","N","1 year","0.2261"
"1950-03-27","N","1 year","0.2320"
"1950-03-28","N","1 year","0.2128"
"1950-03-29","N","1 year","0.2231"
"1950-03-30","N","1 year","0.2416"
"1950-03-31","N","1 year","0.2331"
"1950-04-03","N","1 year","0.2128"
"1950-04-04","N","1 year","0.2194"
"1950-04-05","Y","1 year","0.2303"
"1950-04-06","Y","1 year","0.2216"
"1950-04-10","Y","1 year","0.2129"
"1950-04-11","N","1 year","0.2192"
"1950-04-12","Y","1 year","0.2168"
"1950-04-13","Y","1 year","0.2286"
"1950-04-14","N","1 year","0.2272"
"1950-04-17","N","1 year","0.2355"
"1950-04-18","Y","1 year","0.2274"
"1950-04-19","Y","1 year","0.2211"
"1950-04-20","N","1 year","0.2292"
"1950-04-21","N","1 year","0.2277"
"1950-04-24","N","1 year","0.2316"
"1950-04-25","N","1 year","0.2322"
"1950-04-26","N","1 year","0.2477"
"1950-04-27","N","1 year","0.2536"
"1950-04-28","N","1 year","0.2489"
"1950-05-01","Y","1 year","0.2366"
"1950-05-02","N","1 year","0.2490"
"1950-05-03","Y","1 year","0.2485"
"1950-05-04","N","1 year","0.2566"
"1950-05-05","N","1 year","0.2420"
"1950-05-08","N","1 year","0.2376"
"1950-05-09","N","1 year","0.2392"
"1950-05-10","Y","1 year","0.2307"
"1950-05-11","N","1 year","0.2209"
"1950-05-12","N","1 year","0.2200"
"1950-05-15","N","1 year","0.1917"
"1950-05-16","Y","1 year","0.1763"
"1950-05-17","Y","1 year","0.1831"
"1950-05-18","Y","1 year","0.1590"
"1950-05-19","Y","1 year","0.1489"
"1950-05-22","N","1 year","0.1484"
"1950-05-23","Y","1 year","0.1310"
"1950-05-24","N","1 year","0.1263"
"1950-05-25","N","1 year","0.1252"
"1950-05-26","N","1 year","0.1361"
"1950-05-29","Y","1 year","0.1405"
"1950-05-31","Y","1 year","0.1458"
"1950-06-01","N","1 year","0.1443"
"1950-06-02","Y","1 year","0.1303"
"1950-06-05","N","1 year","0.1468"
"1950-06-06","Y","1 year","0.1377"
"1950-06-07","Y","1 year","0.1389"
"1950-06-08","Y","1 year","0.1227"
"1950-06-09","Y","1 year","0.1220"
"1950-06-12","Y","1 year","0.1092"
"1950-06-13","N","1 year","0.1194"
"1950-06-14","N","1 year","0.1506"
"1950-06-15","N","1 year","0.1642"
"1950-06-16","N","1 year","0.1623"
"1950-06-19","N","1 year","0.1638"
"1950-06-20","N","1 year","0.1635"
"1950-06-21","N","1 year","0.1463"
"1950-06-22","N","1 year","0.1247"
"1950-06-23","N","1 year","0.1123"
"1950-06-26","N","1 year","0.1762"
"1950-06-27","N","1 year","0.1932"
"1950-06-28","N","1 year","0.1651"
"1950-06-29","N","1 year","0.2019"
"1950-06-30","N","1 year","0.1928"
"1950-07-03","N","1 year","0.2035"
"1950-07-05","N","1 year","0.2151"
"1950-07-06","N","1 year","0.2083"
"1950-07-07","N","1 year","0.2298"
"1950-07-10","N","1 year","0.2297"
"1950-07-11","N","1 year","0.2517"
"1950-07-12","N","1 year","0.2922"
"1950-07-13","N","1 year","0.3169"
"1950-07-14","N","1 year","0.2881"
"1950-07-17","N","1 year","0.3141"
"1950-07-18","N","1 year","0.2825"
"1950-07-19","N","1 year","0.2581"
"1950-07-20","N","1 year","0.2425"
"1950-07-21","N","1 year","0.2564"
"1950-07-24","N","1 year","0.2837"
"1950-07-25","N","1 year","0.2954"
"1950-07-26","N","1 year","0.3011"
"1950-07-27","N","1 year","0.2874"
"1950-07-28","N","1 year","0.2792"
"1950-07-31","N","1 year","0.2556"
"1950-08-01","N","1 year","0.2492"
"1950-08-02","N","1 year","0.2713"
"1950-08-03","N","1 year","0.2701"
"1950-08-04","N","1 year","0.2686"
"1950-08-07","N","1 year","0.2510"
"1950-08-08","N","1 year","0.2422"
"1950-08-09","N","1 year","0.2273"
"1950-08-10","N","1 year","0.2332"
"1950-08-11","N","1 year","0.2473"
"1950-08-14","N","1 year","0.2411"
"1950-08-15","N","1 year","0.2440"
"1950-08-16","N","1 year","0.2470"
"1950-08-17","N","1 year","0.2374"
"1950-08-18","N","1 year","0.2276"
"1950-08-21","N","1 year","0.2209"
"1950-08-22","N","1 year","0.2179"
"1950-08-23","N","1 year","0.2168"
"1950-08-24","N","1 year","0.2176"
"1950-08-25","N","1 year","0.2325"
"1950-08-28","N","1 year","0.2359"
"1950-08-29","N","1 year","0.2450"
"1950-08-30","N","1 year","0.2611"
"1950-08-31","N","1 year","0.2639"
"1950-09-01","N","1 year","0.2551"
"1950-09-05","N","1 year","0.2538"
"1950-09-06","N","1 year","0.2660"
"1950-09-07","N","1 year","0.2658"
"1950-09-08","N","1 year","0.2597"
"1950-09-11","N","1 year","0.2628"
"1950-09-12","N","1 year","0.2506"
"1950-09-13","N","1 year","0.2420"
"1950-09-14","N","1 year","0.2351"
"1950-09-15","N","1 year","0.2245"
"1950-09-18","N","1 year","0.2179"
"1950-09-19","N","1 year","0.2216"
"1950-09-20","N","1 year","0.2270"
"1950-09-21","N","1 year","0.2081"
"1950-09-22","Y","1 year","0.1986"
"1950-09-25","N","1 year","0.2039"
"1950-09-26","N","1 year","0.2226"
"1950-09-27","N","1 year","0.1989"
"1950-09-28","N","1 year","0.1977"
"1950-09-29","Y","1 year","0.2067"
"1950-10-02","Y","1 year","0.2006"
"1950-10-03","N","1 year","0.2101"
"1950-10-04","Y","1 year","0.1860"
"1950-10-05","N","1 year","0.1956"
"1950-10-06","Y","1 year","0.1804"
"1950-10-09","N","1 year","0.1825"
"1950-10-10","N","1 year","0.1936"
"1950-10-11","N","1 year","0.1934"
"1950-10-13","N","1 year","0.2015"
"1950-10-16","N","1 year","0.2060"
"1950-10-17","N","1 year","0.1911"
"1950-10-18","N","1 year","0.1829"
"1950-10-19","N","1 year","0.1648"
"1950-10-20","N","1 year","0.1397"
"1950-10-23","N","1 year","0.1442"
"1950-10-24","N","1 year","0.1469"
"1950-10-25","N","1 year","0.1452"
"1950-10-26","N","1 year","0.1631"
"1950-10-27","N","1 year","0.1476"
"1950-10-30","N","1 year","0.1555"
"1950-10-31","N","1 year","0.1746"
"1950-11-01","N","1 year","0.1810"
"1950-11-02","N","1 year","0.1622"
"1950-11-03","N","1 year","0.1496"
"1950-11-06","N","1 year","0.1616"
"1950-11-08","N","1 year","0.1487"
"1950-11-09","N","1 year","0.1495"
"1950-11-10","N","1 year","0.1429"
"1950-11-13","N","1 year","0.1389"
"1950-11-14","N","1 year","0.1505"
"1950-11-15","N","1 year","0.1523"
"1950-11-16","N","1 year","0.1571"
"1950-11-17","N","1 year","0.1445"
"1950-11-20","N","1 year","0.1379"
"1950-11-21","N","1 year","0.1388"
"1950-11-22","Y","1 year","0.1111"
"1950-11-24","Y","1 year","0.1038"
"1950-11-27","N","1 year","0.1228"
"1950-11-28","N","1 year","0.1559"
"1950-11-29","N","1 year","0.1703"
"1950-11-30","N","1 year","0.1727"
"1950-12-01","N","1 year","0.1704"
"1950-12-04","N","1 year","0.2179"
"1950-12-05","N","1 year","0.1947"
"1950-12-06","N","1 year","0.2000"
"1950-12-07","N","1 year","0.2052"
"1950-12-08","N","1 year","0.2072"
"1950-12-11","N","1 year","0.1815"
"1950-12-12","N","1 year","0.1875"
"1950-12-13","N","1 year","0.1891"
"1950-12-14","N","1 year","0.2028"
"1950-12-15","N","1 year","0.2111"
"1950-12-18","N","1 year","0.1834"
"1950-12-19","N","1 year","0.1809"
"1950-12-20","N","1 year","0.1803"
"1950-12-21","N","1 year","0.1767"
"1950-12-22","N","1 year","0.1729"
"1950-12-26","N","1 year","0.1767"
"1950-12-27","N","1 year","0.1650"
"1950-12-28","Y","1 year","0.1624"
"1950-12-29","Y","1 year","0.1635"
"1951-01-02","Y","1 year","0.1459"
"1951-01-03","N","1 year","0.1542"
"1951-01-04","Y","1 year","0.1462"
"1951-01-05","N","1 year","0.1457"
"1951-01-08","Y","1 year","0.1343"
"1951-01-09","Y","1 year","0.1241"
"1951-01-10","N","1 year","0.1444"
