Date,Cumulative Total Return (Net Dividends)
1950-01-03,0
1950-01-04,1.1405
1950-01-05,1.6206
1950-01-06,1.9208
1950-01-09,2.521
1950-01-10,2.2209
1950-01-11,2.581
1950-01-12,0.6002
1950-01-13,0.06
1950-01-16,0.3601
1950-01-17,1.2005
1950-01-18,1.1405
1950-01-19,1.2605
1950-01-20,1.4406
1950-01-23,1.5606
1950-01-24,1.2005
1950-01-25,0.4802
1950-01-26,0.4202
1950-01-27,0.9604
1950-01-30,2.1609
1950-01-31,2.3409
1950-02-01,2.3409
1950-02-02,3.4214
1950-02-03,3.7815
1950-02-06,3.9616
1950-02-07,3.4214
1950-02-08,3.3013
1950-02-09,3.7215
1950-02-10,3.4814
1950-02-14,2.401
1950-02-15,2.401
1950-02-16,1.9808
1950-02-17,2.9412
1950-02-20,3.2413
1950-02-21,3.0612
1950-02-23,3.3013
1950-02-24,3.7215
1950-02-27,3.7215
1950-02-28,3.3613
1950-03-01,3.4814
1950-03-02,3.4214
1950-03-03,3.7815
1950-03-06,3.9616
1950-03-07,3.2413
1950-03-08,3.1813
1950-03-09,2.461
1950-03-10,2.581
1950-03-13,2.7611
1950-03-14,3.5414
1950-03-15,4.7419
1950-03-16,4.982
1950-03-17,4.7419
1950-03-20,4.6819
1950-03-21,4.7419
1950-03-22,5.3421
1950-03-23,5.4022
1950-03-24,5.4022
1950-03-27,4.8019
1950-03-28,5.2221
1950-03-29,4.6819
1950-03-30,3.8415
1950-03-31,3.7815
1950-04-03,5.2221
1950-04-04,5.3421
1950-04-05,5.8223
1950-04-06,6.7227
1950-04-10,7.1429
1950-04-11,6.5426
1950-04-12,7.6831
1950-04-13,7.9232
1950-04-14,7.8031
1950-04-17,7.3229
1950-04-18,8.2233
1950-04-19,8.3433
1950-04-20,7.623
1950-04-21,7.8031
1950-04-24,7.0228
1950-04-25,7.0228
1950-04-26,6.6026
1950-04-27,7.2029
1950-04-28,7.8031
1950-05-01,9.3637
1950-05-02,8.7035
1950-05-03,9.6639
1950-05-04,8.7635
1950-05-05,9.3637
1950-05-08,9.6639
1950-05-09,9.6639
1950-05-10,9.7839
1950-05-11,9.7839
1950-05-12,9.1236
1950-05-15,9.6038
1950-05-16,10.6843
1950-05-17,11.1645
1950-05-18,11.4046
1950-05-19,12.1249
1950-05-22,11.6447
1950-05-23,12.3049
1950-05-24,12.1849
1950-05-25,12.1849
1950-05-26,12.0648
1950-05-29,12.3649
1950-05-31,12.7251
1950-06-01,12.6651
1950-06-02,12.7851
1950-06-05,11.6447
1950-06-06,13.3253
1950-06-07,13.6255
1950-06-08,14.886
1950-06-09,15.6062
1950-06-12,16.4466
1950-06-13,15.5462
1950-06-14,13.9256
1950-06-15,13.6255
1950-06-16,13.8655
1950-06-19,13.5654
1950-06-20,13.0252
1950-06-21,14.0456
1950-06-22,15.006
1950-06-23,14.886
1950-06-26,8.7035
1950-06-27,7.503
1950-06-28,8.7035
1950-06-29,4.6819
1950-06-30,6.1825
1950-07-03,5.8824
1950-07-05,6.9028
1950-07-06,7.503
1950-07-07,6.0624
1950-07-10,5.5822
1950-07-11,3.9616
1950-07-12,1.2605
1950-07-13,0.1801
1950-07-14,1.2605
1950-07-17,0.12
1950-07-18,2.401
1950-07-19,4.2017
1950-07-20,5.7023
1950-07-21,5.5822
1950-07-24,4.922
1950-07-25,3.4214
1950-07-26,3.6615
1950-07-27,5.042
1950-07-28,6.1825
1950-07-31,7.0828
1950-08-01,8.1633
1950-08-02,7.7431
1950-08-03,7.9832
1950-08-04,8.8836
1950-08-07,10.5042
1950-08-08,10.8043
1950-08-09,11.7047
1950-08-10,10.9244
1950-08-11,9.7239
1950-08-14,9.7839
1950-08-15,9.964
1950-08-16,10.084
1950-08-17,11.2845
1950-08-18,12.1249
1950-08-21,12.2449
1950-08-22,12.1249
1950-08-23,12.9652
1950-08-24,12.7851
1950-08-25,11.2845
1950-08-28,11.2245
1950-08-29,11.2845
1950-08-30,10.6242
1950-08-31,10.5642
1950-09-01,11.3445
